rep,N,assumption,option,experiment,dgp_name,mu_rmse,mu_nmse,mu_mse,mu_variance,moment_rmse,moment_nmse,moment_mse,moment_variance,tau_rmse,tau_nmse,tau_mse,tau_variance
7,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.011630458161565499,0.0006723974444353144,0.00013526755704792553,0.2011720272993073,0.003138710496402589,0.001686318504448415,9.851503580227788e-06,0.005842018310443766,0.028865781841418494,0.00015819649320125174,0.0008332333613163656,5.267078583444683
8,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.005675352095375903,0.00015963360869960033,3.220962140648766e-05,0.2017721811144416,0.0029889550387601576,0.0015288018915608965,8.933852223729734e-06,0.005843695166159384,0.028021577309116173,0.00014903503164874092,0.0007852087948907743,5.268618969675697
9,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.008171321725382697,0.0003305289605493335,6.677049873971125e-05,0.20201103899863967,0.004641120676570118,0.0036663337529859222,2.1540001134486667e-05,0.005875079189652098,0.053331700657262886,0.0005410932825220822,0.0028442702949958943,5.256524867095941
10,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.008028544848575897,0.00031929437224797075,6.445753238559459e-05,0.20187494045631194,0.003949408137599979,0.0026630896857344935,1.5597824637340933e-05,0.005857040685071398,0.04991012961443066,0.0004732672963435249,0.002491021038129268,5.263454832765668
11,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.004610881547252779,0.00010541079943366903,2.1260228642796187e-05,0.20168928380222023,0.002660833945817563,0.0012093042750661637,7.080037287215064e-06,0.005854636780166595,0.017297379397355973,5.684136916387536e-05,0.0002991993340160749,5.2637601524599855
12,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.005876101609956531,0.0001711815690218055,3.452857013053374e-05,0.20170728851150682,0.003027155089421808,0.001563760144483237,9.163667935412355e-06,0.005860021415522517,0.05839217870413003,0.0006480248731048277,0.003409646533815056,5.26159824310246
13,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.006984466600260873,0.00024267270896280435,4.8782773690159683e-05,0.20102290817397542,0.004060673001254211,0.00281746159455011,1.648906522311488e-05,0.005852454299646928,0.06675431561321676,0.0008468228600568842,0.0044561386529889556,5.262185119435274
14,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.013142223491425513,0.0008534183267676919,0.0001727180382985766,0.20238379336514062,0.0063499521619490755,0.006854613850310695,4.0321892459041736e-05,0.005882445508905522,0.10456108458822047,0.0020805432632800547,0.010933020410264995,5.254887318723033
15,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0077445363372598925,0.0002990014116262894,5.9977843079138876e-05,0.200593845871547,0.002947369178934867,0.0014916446706135548,8.686985076935192e-06,0.005823763023510146,0.03547357567453011,0.00023866476029657524,0.0012583745711366146,5.272561267834026
16,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.010534576392592062,0.0005519103473351619,0.00011097729977135798,0.20107849093099922,0.00516566896464381,0.004564558170924526,2.668413585228425e-05,0.005845940582433091,0.04656125165062247,0.0004117588737525228,0.002167950155272594,5.265096379138596
17,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.013220910874555347,0.0008649869943806056,0.00017479248435293583,0.20207527452837615,0.0048222011106087564,0.003967755621632824,2.3253623551156326e-05,0.005860649134834296,0.02902868660729096,0.0001601200185397733,0.0008426646461443135,5.262706398794217
18,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.008545716638754013,0.00036420416282000463,7.30292728698772e-05,0.2005174029434952,0.002329758572728684,0.0009306441564840516,5.4277750072027945e-06,0.005832277535281349,0.033780315174134413,0.00021658266676784067,0.0011411096932638556,5.2687027558259505
19,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.009564595764670543,0.0004546354309901397,9.148149214155367e-05,0.20121945168751654,0.004654609940477293,0.003709148844276763,2.166539369799003e-05,0.0058410688294215675,0.04766581326158663,0.0004313173954381995,0.002272029753888448,5.267651566847114
0,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.009482170402803362,0.00044604447568275435,8.991155554780006e-05,0.20157531468173356,0.002820294846346295,0.0013591618823681386,7.95406302032747e-06,0.005852182233413353,0.04703834239154472,0.00042029955850152515,0.0022126056549441925,5.2643539832225725
1,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.002147967422642156,2.292669557373628e-05,4.613764048731986e-06,0.20123981818022185,0.0016806538208208426,0.0004827846091529808,2.8245972654396967e-06,0.0058506365196589385,0.018359956474287703,6.403956079310977e-05,0.000337088001737739,5.26374630873495
2,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.005908355733528887,0.00017281870581133796,3.490866747392367e-05,0.20199588528357937,0.003632667534250809,0.002252100239548408,1.3196273414399852e-05,0.005859540877739071,0.042945614711595616,0.00035044109721057125,0.0018443258229568177,5.262869673783177
