rep,setting,assumption,method,lag,source_t,tau_rmse,tau_bias,mean_tau_hat,mean_tau_true,mean_abs_tau_hat,mean_abs_tau_true,tau_hat_sd,tau_true_sd,sign_alignment,cosine_alignment
16,power,static,RV,,2,0.5067191361587859,0.40057638157209047,0.0005763815720904156,-0.4,0.24463532714989839,0.4,0.30877846260771435,0.023093963471002548,0.334,-0.0035826871110636966
16,power,static,RV,,3,0.5161342581398356,0.3828829815698343,-0.01711701843016567,-0.4,0.33795125929021586,0.4,0.3441126175590489,0.023093963471002548,0.526,0.046525660790181715
16,power,static,RV,,4,0.4737269311747076,0.39046845079114906,-0.009531549208850982,-0.4,0.18203221573839812,0.4,0.26733269230241524,0.023093963471002548,0.256,0.0357986622569604
16,power,static,RV,,5,0.47329407197642365,0.3971101128916296,-0.0028898871083703863,-0.4,0.21116091182781474,0.4,0.2558019690042941,0.023093963471002548,0.38,0.00960534232146507
17,power,static,RV,,1,0.5947349683411294,0.3842446188869375,-0.01575538111306249,-0.4,0.4456079122109933,0.4,0.45121902502175903,0.023093963471002548,0.516,0.029493053049052104
17,power,static,RV,,2,0.6185363456651725,0.3965253072451506,-0.003474692754849424,-0.4,0.42567501207873215,0.4,0.4711859387046817,0.023093963471002548,0.472,-6.784517187139953e-05
17,power,static,RV,,3,0.5800793450372002,0.40063216910266,0.0006321691026599279,-0.4,0.4097081455587112,0.4,0.4160124237610334,0.023093963471002548,0.508,-0.008675124832367006
17,power,static,RV,,4,0.552715798430743,0.38048966087963515,-0.019510339120364865,-0.4,0.3638731425930738,0.4,0.3985878762928866,0.023093963471002548,0.51,0.04469122423427773
17,power,static,RV,,5,0.5695541906760482,0.4039945859294384,0.003994585929438347,-0.4,0.3838734455357567,0.4,0.39801189186545133,0.023093963471002548,0.51,-0.017021862992638873
18,power,static,RV,,1,0.5987945131406153,0.3472715206096985,-0.052728479390301446,-0.4,0.47856560854767394,0.4,0.4870904502097547,0.023093963471002548,0.558,0.10701907947559915
18,power,static,RV,,2,0.5359349992885922,0.38751024715186133,-0.012489752848138693,-0.4,0.3431815411431376,0.4,0.3696225270422059,0.023093963471002548,0.46,0.034025616042731466
18,power,static,RV,,3,0.5811011208407832,0.3628536788426467,-0.03714632115735339,-0.4,0.4371589694966518,0.4,0.45313334785504594,0.023093963471002548,0.536,0.0811479412931548
