rep,setting,assumption,hypothesis,method,lag,source_t,pvalue,reject,stat,statistic
16,power,static,H0,RV,,1,0.04983388704318937,1,0.7296173893376551,likelihood
16,power,static,H0,TWFE,,1,0.0116260454061595,1,-0.6466787935570508,likelihood
16,power,static,H0,RV,,2,0.2591362126245847,0,-0.20082011902370703,likelihood
16,power,static,H0,TWFE,,2,0.0116260454061595,1,-0.6466787935570508,likelihood
16,power,static,H0,RV,,3,0.14285714285714285,0,0.3154726097433672,likelihood
16,power,static,H0,TWFE,,3,0.0116260454061595,1,-0.6466787935570508,likelihood
16,power,static,H0,RV,,4,0.04318936877076412,1,1.0653192908390996,likelihood
16,power,static,H0,TWFE,,4,0.0116260454061595,1,-0.6466787935570508,likelihood
16,power,static,H0,RV,,5,0.21926910299003322,0,-0.433990722966951,likelihood
16,power,static,H0,TWFE,,5,0.0116260454061595,1,-0.6466787935570508,likelihood
17,power,static,H0,RV,,1,0.4950166112956811,0,1.0851325577786604,likelihood
17,power,static,H0,TWFE,,1,0.42673090271920444,0,-0.2171293449190421,likelihood
17,power,static,H0,RV,,2,0.707641196013289,0,0.388360285775037,likelihood
17,power,static,H0,TWFE,,2,0.42673090271920444,0,-0.2171293449190421,likelihood
17,power,static,H0,RV,,3,0.5182724252491694,0,0.17941537076783173,likelihood
17,power,static,H0,TWFE,,3,0.42673090271920444,0,-0.2171293449190421,likelihood
17,power,static,H0,RV,,4,0.07641196013289037,1,1.6680286152600114,likelihood
17,power,static,H0,TWFE,,4,0.42673090271920444,0,-0.2171293449190421,likelihood
17,power,static,H0,RV,,5,0.5880398671096345,0,-0.26329319506229265,likelihood
17,power,static,H0,TWFE,,5,0.42673090271920444,0,-0.2171293449190421,likelihood
18,power,static,H0,RV,,1,0.12624584717607973,0,1.8084843351191702,likelihood
18,power,static,H0,TWFE,,1,0.31158891567250663,0,-0.2967553365342065,likelihood
18,power,static,H0,RV,,2,0.1461794019933555,0,0.8258460846833969,likelihood
18,power,static,H0,TWFE,,2,0.31158891567250663,0,-0.2967553365342065,likelihood
18,power,static,H0,RV,,3,0.1362126245847176,0,1.499114302531407,likelihood
18,power,static,H0,TWFE,,3,0.31158891567250663,0,-0.2967553365342065,likelihood
18,power,static,H0,RV,,4,0.2823920265780731,0,1.6894612510122016,likelihood
18,power,static,H0,TWFE,,4,0.31158891567250663,0,-0.2967553365342065,likelihood
18,power,static,H0,RV,,5,0.13953488372093023,0,0.6109858279114802,likelihood
18,power,static,H0,TWFE,,5,0.31158891567250663,0,-0.2967553365342065,likelihood
19,power,static,H0,RV,,1,0.0033222591362126247,1,1.0452940606391696,likelihood
19,power,static,H0,TWFE,,1,0.45808178095714946,0,-0.2365069100116783,likelihood
19,power,static,H0,RV,,2,0.019933554817275746,1,1.047186728132954,likelihood
19,power,static,H0,TWFE,,2,0.45808178095714946,0,-0.2365069100116783,likelihood
19,power,static,H0,RV,,3,0.0033222591362126247,1,4.351686016714735,likelihood
19,power,static,H0,TWFE,,3,0.45808178095714946,0,-0.2365069100116783,likelihood
19,power,static,H0,RV,,4,0.0033222591362126247,1,0.8468633979194378,likelihood
19,power,static,H0,TWFE,,4,0.45808178095714946,0,-0.2365069100116783,likelihood
19,power,static,H0,RV,,5,0.0033222591362126247,1,3.116406262305833,likelihood
19,power,static,H0,TWFE,,5,0.45808178095714946,0,-0.2365069100116783,likelihood
20,power,static,H0,RV,,1,0.08305647840531562,1,1.4908476691589352,likelihood
20,power,static,H0,TWFE,,1,0.2062218707953696,0,-0.306004927238573,likelihood
20,power,static,H0,RV,,2,0.019933554817275746,1,3.106120432957691,likelihood
20,power,static,H0,TWFE,,2,0.2062218707953696,0,-0.306004927238573,likelihood
20,power,static,H0,RV,,3,0.013289036544850499,1,1.6291520071820642,likelihood
20,power,static,H0,TWFE,,3,0.2062218707953696,0,-0.306004927238573,likelihood
20,power,static,H0,RV,,4,0.5182724252491694,0,0.5128807050362472,likelihood
