rep,method,rmse,k,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
11,Oracle,,1,0.04855028743014749,0.029940119760479042,1,lagged,power,500,0.1
11,DM,,1,0.34846402589192266,0.1656686626746507,0,lagged,power,500,0.1
11,cDM,,1,0.015367405661638326,0.4031936127744511,0,lagged,power,500,0.1
11,SS,1.1488189619791371,1,-0.7433037941959241,0.18363273453093812,0,lagged,power,500,0.1
11,RC,0.08976450503953645,2,1.5969412222025476,0.2215568862275449,0,lagged,power,500,0.1
11,Oracle,,2,1.5680843297365894,0.09780439121756487,1,lagged,power,500,0.1
11,DM,,2,-0.49926140185291995,0.8822355289421158,0,lagged,power,500,0.1
11,cDM,,2,-0.17022043240182758,0.9481037924151696,0,lagged,power,500,0.1
11,SS,0.6429132807425959,2,-0.18116989437043482,0.6407185628742516,0,lagged,power,500,0.1
11,RC,0.7453657269048126,3,4.0574584294004055,0.3033932135728543,0,lagged,power,500,0.1
11,Oracle,,3,4.783018721795526,0.001996007984031936,1,lagged,power,500,0.1
11,DM,,3,-1.2979964282796268,1.0,0,lagged,power,500,0.1
11,cDM,,3,-0.027324447032854884,0.5708582834331337,0,lagged,power,500,0.1
11,SS,0.6880337983533281,3,0.46091349471921045,0.08582834331337326,1,lagged,power,500,0.1
11,RC,0.13795105460940424,4,2.5317814909418885,0.031936127744510975,1,lagged,power,500,0.1
11,Oracle,,4,2.3441863302629367,0.005988023952095809,1,lagged,power,500,0.1
11,DM,,4,-0.10820054904636205,0.592814371257485,0,lagged,power,500,0.1
11,cDM,,4,-0.1220821524142344,0.8522954091816367,0,lagged,power,500,0.1
11,SS,0.656230570639919,4,1.4214970988997135,0.003992015968063872,1,lagged,power,500,0.1
11,RC,0.7279061822582242,5,5.267915049159247,0.1656686626746507,0,lagged,power,500,0.1
11,Oracle,,5,6.164260242127088,0.011976047904191617,1,lagged,power,500,0.1
11,DM,,5,0.21428116695313246,0.3253493013972056,0,lagged,power,500,0.1
11,cDM,,5,0.17003862402165162,0.08782435129740519,1,lagged,power,500,0.1
11,SS,0.9383050314892158,5,-0.14579000259930552,0.8343313373253493,0,lagged,power,500,0.1
