rep,setting,assumption,method,lag,source_t,tau_rmse,tau_bias,mean_tau_hat,mean_tau_true,mean_abs_tau_hat,mean_abs_tau_true,tau_hat_sd,tau_true_sd,sign_alignment,cosine_alignment,n_time_comparisons,treated_count_min,control_count_min,eligible_count_min,treated_count_mean,control_count_mean,eligible_count_mean
29,power,lagged,RC,4,,2.8085038740882395,1.853669023312974,-0.346330976687026,-2.2,1.6417350784269216,2.2083328,1.8122039063263595,1.3856378082601528,0.596,0.23726563909363255,1,50,50,100,50.0,50.0,100.0
30,power,lagged,RC,0,,0.6554475420966047,0.5449883171399375,-0.05501168286006255,-0.6,0.24011932793515775,0.6,0.2908918495925183,0.2309396347100255,0.586,0.18747752644766824,5,50,50,150,90.0,250.0,340.0
30,power,lagged,RC,1,,1.2223403513521098,0.838918539801804,-0.16108146019819605,-1.0,0.713543957927609,1.0,0.7761898504585021,0.5196141780975573,0.588,0.22628133858582838,4,50,50,150,87.5,200.0,287.5
30,power,lagged,RC,2,,1.7367305484930884,1.1824303465500825,-0.21756965344991727,-1.4,0.9835616815492559,1.4,1.0914687166869623,0.8082887214850891,0.596,0.23225786073448912,3,50,50,150,83.33333333333333,150.0,233.33333333333334
30,power,lagged,RC,3,,2.310355846863309,1.4749613003188164,-0.3250386996811837,-1.8,1.420559952843244,1.8026311999999998,1.5288803667709794,1.096963264872621,0.598,0.2350243791915583,2,50,50,150,75.0,100.0,175.0
30,power,lagged,RC,4,,20.248617699900542,1.008152119907774,-1.1918478800922263,-2.2,3.5328256670428155,2.2083328,20.113706489636215,1.3856378082601528,0.594,0.02610519716000556,1,50,50,100,50.0,50.0,100.0
31,power,lagged,RC,0,,0.651976679124684,0.5369209945850343,-0.06307900541496579,-0.6,0.27743163715820013,0.6,0.31873132756359096,0.2309396347100255,0.588,0.22458751566093604,5,50,50,150,90.0,250.0,340.0
31,power,lagged,RC,1,,1.4920278677643555,0.80181238608685,-0.19818761391314996,-1.0,1.1362414464505535,1.0,1.2225101790422486,0.5196141780975573,0.586,0.20694542364542118,4,50,50,150,87.5,200.0,287.5
31,power,lagged,RC,2,,1.7519837268627207,1.2018691620230826,-0.19813083797691722,-1.4,1.0602966118110078,1.4,1.0809388649372422,0.8082887214850891,0.586,0.21152637323013643,3,50,50,150,83.33333333333333,150.0,233.33333333333334
31,power,lagged,RC,3,,2.283433411906026,1.5043305938049938,-0.29566940619500615,-1.8,1.3881583716212,1.8026311999999998,1.469837936723996,1.096963264872621,0.58,0.23369200549386432,2,50,50,150,75.0,100.0,175.0
31,power,lagged,RC,4,,2.7916090807432434,1.8662319231343414,-0.33376807686565896,-2.2,1.6505475592851868,2.2083328,1.720505014594164,1.3856378082601528,0.568,0.2236757369297026,1,50,50,100,50.0,50.0,100.0
32,power,lagged,RC,0,,0.6697261829838368,0.5292639045845772,-0.07073609541542285,-0.6,0.3178244818188928,0.6,0.37435473934609764,0.2309396347100255,0.564,0.2244369358643479,5,50,50,150,90.0,250.0,340.0
