rep,method,rmse,k,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
7,SS,1.3412471324081217,4,-0.8696118995908362,0.656686626746507,0,static,power,500,0.1
7,RV,1.1936589910743114,5,2.6330262326164444,0.0658682634730539,1,static,power,500,0.1
7,Oracle,,5,3.386644465304566,0.01996007984031936,1,static,power,500,0.1
7,DM,,5,0.09034395382813203,0.4251497005988024,0,static,power,500,0.1
7,cDM,,5,0.006767989217178439,0.46506986027944114,0,static,power,500,0.1
7,SS,1.122889036429903,5,-0.337647324217003,0.3013972055888224,0,static,power,500,0.1
8,RV,0.6161111596777311,1,2.1612575995603684,0.07584830339321358,1,static,power,500,0.1
8,Oracle,,1,2.2232349487984253,0.005988023952095809,1,static,power,500,0.1
8,DM,,1,-0.007370710550438498,0.5369261477045908,0,static,power,500,0.1
8,cDM,,1,0.00517479615178823,0.5389221556886228,0,static,power,500,0.1
8,SS,1.4048227795887127,1,1.235705489143454,0.22554890219560877,0,static,power,500,0.1
8,RV,0.49335033679396373,2,2.2407693991129607,0.1497005988023952,0,static,power,500,0.1
8,Oracle,,2,2.959989945357172,0.08782435129740519,1,static,power,500,0.1
8,DM,,2,-0.6605298126553147,0.8542914171656687,0,static,power,500,0.1
8,cDM,,2,0.017183909040522933,0.47904191616766467,0,static,power,500,0.1
8,SS,1.3061507873220886,2,0.3207029455888255,0.12375249500998003,0,static,power,500,0.1
