rep,method,rmse,l,n_terms,pvalue,reject,assumption,setting,n_perms,alpha
13,cDM,,4,1,0.031936127744510975,1,lagged,power,500,0.1
13,SS,1.620973274341927,4,1,0.8363273453093812,0,lagged,power,500,0.1
14,RC,0.8474469014870454,0,5,0.013875002716561438,1,lagged,power,500,0.1
14,Oracle,,0,5,4.045644484202096e-08,1,lagged,power,500,0.1
14,DM,,0,5,0.39022098879735956,0,lagged,power,500,0.1
14,cDM,,0,5,0.7627489193013197,0,lagged,power,500,0.1
14,SS,0.7963114608439888,0,5,0.0516607143454575,1,lagged,power,500,0.1
14,RC,0.8680105614509086,1,4,0.021402033258636263,1,lagged,power,500,0.1
14,Oracle,,1,4,5.303110337269576e-06,1,lagged,power,500,0.1
14,DM,,1,4,0.4060606879055582,0,lagged,power,500,0.1
14,cDM,,1,4,0.8492506871119437,0,lagged,power,500,0.1
14,SS,0.721077127166561,1,4,0.1041840626665397,0,lagged,power,500,0.1
14,RC,1.1142242352474965,2,3,0.685188730428987,0,lagged,power,500,0.1
14,Oracle,,2,3,1.4105638010856692e-05,1,lagged,power,500,0.1
14,DM,,2,3,0.7048083142485178,0,lagged,power,500,0.1
14,cDM,,2,3,0.9865186977395788,0,lagged,power,500,0.1
14,SS,0.8214017954671892,2,3,0.12223530138336,0,lagged,power,500,0.1
14,RC,0.6874640968161725,3,2,0.40117729502667954,0,lagged,power,500,0.1
14,Oracle,,3,2,0.0043155733132437726,1,lagged,power,500,0.1
14,DM,,3,2,0.19997693881001716,0,lagged,power,500,0.1
14,cDM,,3,2,0.7076524996157805,0,lagged,power,500,0.1
14,SS,0.9119671486715599,3,2,0.09548462665995056,1,lagged,power,500,0.1
14,RC,0.8263218918318279,4,1,0.06387225548902195,1,lagged,power,500,0.1
14,Oracle,,4,1,0.8303393213572854,0,lagged,power,500,0.1
