rep,method,rmse,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
31,DM,,0.023614691955683102,0.47904191616766467,0,lagged,power,500,0.1
31,cDM,,0.013766745592550486,0.405189620758483,0,lagged,power,500,0.1
31,SS,0.8228839635449805,6.230285911004363,0.027944111776447105,1,lagged,power,500,0.1
32,RC,0.7202176713543941,5.658150638743215,0.08183632734530938,1,lagged,power,500,0.1
32,Oracle,,14.236976464791606,0.001996007984031936,1,lagged,power,500,0.1
32,DM,,0.08944394560118837,0.35528942115768464,0,lagged,power,500,0.1
32,cDM,,0.004351210727062483,0.499001996007984,0,lagged,power,500,0.1
32,SS,1.4701867906615524,-5.751375953887992,0.9920159680638723,0,lagged,power,500,0.1
33,RC,0.7075085475941058,10.057927853295514,0.003992015968063872,1,lagged,power,500,0.1
33,Oracle,,15.421674758472841,0.001996007984031936,1,lagged,power,500,0.1
33,DM,,0.10616727997496704,0.313373253493014,0,lagged,power,500,0.1
33,cDM,,0.03864005628604436,0.24550898203592814,0,lagged,power,500,0.1
33,SS,0.8454568730170995,0.5036276711506893,0.17365269461077845,0,lagged,power,500,0.1
34,RC,0.7807598854572598,12.4917575673893,0.18163672654690619,0,lagged,power,500,0.1
34,Oracle,,20.32927575528682,0.001996007984031936,1,lagged,power,500,0.1
34,DM,,0.3439625165979977,0.08782435129740519,1,lagged,power,500,0.1
34,cDM,,0.0003942847425559152,0.4411177644710579,0,lagged,power,500,0.1
34,SS,1.3859226025784757,-5.979642645769914,0.9920159680638723,0,lagged,power,500,0.1
35,RC,0.8661059939461817,5.3054703217632335,0.18363273453093812,0,lagged,power,500,0.1
35,Oracle,,25.250811257973236,0.001996007984031936,1,lagged,power,500,0.1
35,DM,,0.1111728187604747,0.29740518962075846,0,lagged,power,500,0.1
35,cDM,,0.13045621991466583,0.003992015968063872,1,lagged,power,500,0.1
35,SS,0.7430451231857629,10.10588926074127,0.001996007984031936,1,lagged,power,500,0.1
36,RC,0.9347114580736487,-5.1304012239472545,0.041916167664670656,1,lagged,power,500,0.1
36,Oracle,,13.030138350329675,0.001996007984031936,1,lagged,power,500,0.1
36,DM,,-0.06667351674337513,0.590818363273453,0,lagged,power,500,0.1
36,cDM,,-0.02933209893840183,0.6966067864271457,0,lagged,power,500,0.1
36,SS,0.9128387138906997,-0.40485579807174643,0.027944111776447105,1,lagged,power,500,0.1
37,RC,0.9129267366936863,-4.816823574599292,0.5528942115768463,0,lagged,power,500,0.1
37,Oracle,,18.874768271756082,0.001996007984031936,1,lagged,power,500,0.1
37,DM,,0.18086131936343436,0.20758483033932135,0,lagged,power,500,0.1
37,cDM,,0.049019455803724216,0.16167664670658682,0,lagged,power,500,0.1
37,SS,0.8219194992091289,-0.6102935824184307,0.4550898203592814,0,lagged,power,500,0.1
38,RC,0.842889251473426,-0.6135211244948533,0.3992015968063872,0,lagged,power,500,0.1
38,Oracle,,15.44347123567951,0.001996007984031936,1,lagged,power,500,0.1
38,DM,,-0.17739959616788034,0.7465069860279441,0,lagged,power,500,0.1
38,cDM,,-0.0014610153409031054,0.47904191616766467,0,lagged,power,500,0.1
38,SS,1.359236880437328,-9.059575469080224,0.9620758483033932,0,lagged,power,500,0.1
39,RC,0.7597232608970521,0.7611058962917687,0.011976047904191617,1,lagged,power,500,0.1
39,Oracle,,15.927689093986853,0.001996007984031936,1,lagged,power,500,0.1
39,DM,,0.1682460881455731,0.24750499001996007,0,lagged,power,500,0.1
39,cDM,,0.04378484656253457,0.22355289421157684,0,lagged,power,500,0.1
39,SS,1.0539394508047875,-1.9064326462653014,0.6606786427145709,0,lagged,power,500,0.1
40,RC,0.7104507763447118,3.5054056222777468,0.00998003992015968,1,lagged,power,500,0.1
40,Oracle,,10.19843719739292,0.001996007984031936,1,lagged,power,500,0.1
40,DM,,0.005621019478372271,0.5049900199600799,0,lagged,power,500,0.1
40,cDM,,0.02467774377993587,0.32934131736526945,0,lagged,power,500,0.1
40,SS,0.9917726257416537,-4.375909191047197,0.9520958083832335,0,lagged,power,500,0.1
41,RC,0.8771229614293846,8.114901734799217,0.001996007984031936,1,lagged,power,500,0.1
41,Oracle,,14.951069377907839,0.001996007984031936,1,lagged,power,500,0.1
41,DM,,-0.11898590532778427,0.6866267465069861,0,lagged,power,500,0.1
41,cDM,,0.02491118044579548,0.32934131736526945,0,lagged,power,500,0.1
41,SS,1.0227001177470623,-10.17089908153864,0.8902195608782435,0,lagged,power,500,0.1
