rep,method,rmse,t,l,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
1,RC,1.3786856330785338,2,2,-26.11281739625762,0.05389221556886228,1,lagged,power,500,0.1
1,Oracle,,2,2,34.54178000102772,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,2,2,0.0012257977092113015,0.469061876247505,0,lagged,power,500,0.1
1,cDM,,2,2,0.23271847143745028,0.027944111776447105,1,lagged,power,500,0.1
1,SS,0.5976185662455918,2,2,-1.1952223522791194,0.11976047904191617,0,lagged,power,500,0.1
1,RC,1.4960139599873106,3,2,-7.444646711923746,0.3033932135728543,0,lagged,power,500,0.1
1,Oracle,,3,2,25.641872804233817,0.005988023952095809,1,lagged,power,500,0.1
1,DM,,3,2,0.9407871873095885,0.027944111776447105,1,lagged,power,500,0.1
1,cDM,,3,2,0.037940484552818295,0.3932135728542914,0,lagged,power,500,0.1
1,SS,0.47914984592087445,3,2,6.405844994264218,0.13373253493013973,0,lagged,power,500,0.1
1,RC,0.7421763711409131,1,3,9.058224660624028,0.041916167664670656,1,lagged,power,500,0.1
1,Oracle,,1,3,8.757623942163619,0.005988023952095809,1,lagged,power,500,0.1
1,DM,,1,3,0.3420060469289104,0.18962075848303392,0,lagged,power,500,0.1
1,cDM,,1,3,0.3813278585403296,0.00998003992015968,1,lagged,power,500,0.1
1,SS,0.8068036288315077,1,3,-3.425264539812284,0.5249500998003992,0,lagged,power,500,0.1
1,RC,0.7347385592404562,2,3,16.547315978479403,0.2834331337325349,0,lagged,power,500,0.1
1,Oracle,,2,3,15.643578115792387,0.01996007984031936,1,lagged,power,500,0.1
1,DM,,2,3,0.4429985340503299,0.17365269461077845,0,lagged,power,500,0.1
1,cDM,,2,3,0.04053253202669479,0.38922155688622756,0,lagged,power,500,0.1
1,SS,0.7074814287753219,2,3,4.954168595449117,0.0658682634730539,1,lagged,power,500,0.1
1,RC,0.3185194414602826,1,4,-2.4680964455145515,0.3193612774451098,0,lagged,power,500,0.1
1,Oracle,,1,4,6.974849810609918,0.027944111776447105,1,lagged,power,500,0.1
1,DM,,1,4,0.6451849084143068,0.0998003992015968,1,lagged,power,500,0.1
1,cDM,,1,4,0.014745423147343575,0.47904191616766467,0,lagged,power,500,0.1
1,SS,1.2555026505972555,1,4,-6.315669324615568,0.09580838323353294,1,lagged,power,500,0.1
2,RC,0.7441373454548406,1,0,-0.27898198939774077,0.1157684630738523,0,lagged,power,500,0.1
2,Oracle,,1,0,14.238367938152432,0.001996007984031936,1,lagged,power,500,0.1
2,DM,,1,0,-0.10617742501558414,0.6287425149700598,0,lagged,power,500,0.1
2,cDM,,1,0,-0.06003828062114167,0.688622754491018,0,lagged,power,500,0.1
2,SS,0.7220320361572289,1,0,-3.4191810058021987,0.8522954091816367,0,lagged,power,500,0.1
2,RC,0.7726730306302515,2,0,-3.459422098838857,0.5848303393213573,0,lagged,power,500,0.1
2,Oracle,,2,0,46.232605391781135,0.001996007984031936,1,lagged,power,500,0.1
2,DM,,2,0,0.29863145442795214,0.1317365269461078,0,lagged,power,500,0.1
2,cDM,,2,0,0.11044390395957979,0.14770459081836326,0,lagged,power,500,0.1
2,SS,0.7471922816388624,2,0,-2.5404051885004435,0.3532934131736527,0,lagged,power,500,0.1
2,RC,0.6364401811486263,3,0,3.72915233406294,0.47305389221556887,0,lagged,power,500,0.1
2,Oracle,,3,0,11.12566112542185,0.005988023952095809,1,lagged,power,500,0.1
2,DM,,3,0,0.11565917262256749,0.3393213572854291,0,lagged,power,500,0.1
2,cDM,,3,0,0.04199070039581857,0.35728542914171657,0,lagged,power,500,0.1
2,SS,0.6216611751366298,3,0,0.5151004115723271,0.2834331337325349,0,lagged,power,500,0.1
2,RC,0.6795523766930122,4,0,-5.651158965324383,0.9481037924151696,0,lagged,power,500,0.1
2,Oracle,,4,0,1.7326257550122948,0.0499001996007984,1,lagged,power,500,0.1
2,DM,,4,0,-0.8815324466187838,0.998003992015968,0,lagged,power,500,0.1
2,cDM,,4,0,-0.2320498293394257,0.9740518962075848,0,lagged,power,500,0.1
2,SS,0.5796096432451686,4,0,7.074479140138921,0.033932135728542916,1,lagged,power,500,0.1
2,RC,0.8575216204972089,5,0,1.1300288676214798,0.7964071856287425,0,lagged,power,500,0.1
2,Oracle,,5,0,28.034853744164245,0.011976047904191617,1,lagged,power,500,0.1
