rep,N,M,assumption,option,experiment,method,dgp_name,tau_rmse,tau_nmse,tau_mse,tau_variance
10,25600,400,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.3034599202191912,0.01749076134835911,0.0920879231794379,5.264946524930837
10,25600,800,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.22083587325812007,0.009262863865140039,0.048768482917676464,5.264946524930837
10,25600,800,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.28728786834059095,0.015676193272782565,0.08253431929568072,5.264946524930837
10,25600,1600,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.22083587325812007,0.009262863865140039,0.048768482917676464,5.264946524930837
10,25600,1600,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.2361895538721014,0.010595645196801902,0.05578550535830228,5.264946524930837
10,25600,3200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.20689759516039594,0.008130493762938538,0.0428066148831551,5.264946524930837
10,25600,3200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.2175120138154755,0.008986126626364001,0.04731147615406361,5.264946524930837
11,25600,25,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.38428160256256344,0.028024730998241532,0.14767235006805196,5.269358342005779
11,25600,25,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.981094444179342,0.7448222235089648,3.9247351967582564,5.269358342005779
11,25600,50,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.22216688503409815,0.009367008580966242,0.04935812480575418,5.269358342005779
11,25600,50,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.4760826057211516,0.41348864842681743,2.178819858912545,5.269358342005779
11,25600,100,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.22216688503409815,0.009367008580966242,0.04935812480575418,5.269358342005779
11,25600,100,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.7925093594927577,0.11919308654278124,0.6280710848836211,5.269358342005779
11,25600,200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.22216688503409815,0.009367008580966242,0.04935812480575418,5.269358342005779
11,25600,200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.7449541622233049,0.10531770052339658,0.5549567038138261,5.269358342005779
11,25600,400,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.2240190681275693,0.00952384325140465,0.05018454288474453,5.269358342005779
11,25600,400,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.31009852135960236,0.018249108659557988,0.09616109294941177,5.269358342005779
11,25600,800,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.20064056544834416,0.007639760648372912,0.04025663650343128,5.269358342005779
